ID Steves_ID ra dec x y
9813 z4_GND_38216 189.273064 62.190939 9096.47 7382.919
32040 z4_GND_42888 189.158849 62.302311 12286.342 14065.91
15773 z4_GND_29534 189.147989 62.220272 12595.324 9143.927
10310 z4_GND_37630 189.160804 62.193947 12238.618 7564.003
32316 z4_GND_42647 189.144574 62.304107 12684.3 14174.146
29024 z4_GND_8586 189.186659 62.284915 11511.424 13021.469
27155 z4_GND_45232 189.20102 62.27518 11110.93 12437.145
22405 z4_GND_18274 189.125866 62.252334 13210.935 11068.496
15609 z4_GND_29803 189.14153 62.219468 12776.023 9095.914
26755 z4_GND_11142 189.209633 62.273112 10870.546 12313.006
17990 z4_GND_26725 189.327233 62.231319 7583.883 9807.439
31066 z4_GND_43618 189.131681 62.296207 13044.543 13700.598
19714 z4_GND_22905 189.346708 62.239268 7040.336 10285.254
19115 z4_GND_23871 189.180435 62.236512 11687.278 10117.39
28958 z4_GND_8601 189.104279 62.284556 13810.23 13002.88
18249 z4_GND_25421 189.176288 62.232238 11803.381 9861.078
23687 z4_GND_15975 189.137031 62.25872 12898.496 11451.188
21925 z4_GND_19011 189.215906 62.250317 10695.719 10945.263
14794 z4_GND_31190 189.351949 62.215086 6891.127 8834.635
15177 z4_GND_30689 189.339357 62.216455 7243.428 8916.142
15110 z4_GND_30688 189.339559 62.216681 7237.825 8929.69
3851 z4_GND_860 189.266402 62.154888 9281.688 5219.769
29521 z4_GND_8191 189.289135 62.287697 8652.047 13188.806
19462 z4_GND_22984 189.369968 62.238072 6390.145 10214.783
26974 z4_GND_10889 189.227708 62.274144 10365.975 12374.812
25654 z4_GND_12760 189.086148 62.267855 14318.378 12001.838
5526 z4_GND_2040 189.27554 62.166689 9026.11 5928.011
17020 z4_GND_27444 189.272483 62.226611 9114.178 9523.282
15346 z4_GND_30355 189.425875 62.217649 4823.923 8993.512
8491 z4_GND_40140 189.30923 62.184389 8083.648 6990.95
14768 z4_GND_31211 189.352632 62.215017 6872.015 8830.5
12104 z4_GND_35276 189.314717 62.202403 7931.463 8071.97
9313 z4_GND_38984 189.182486 62.188893 11631.977 7260.249
32999 z4_GND_41813 189.150458 62.308804 12519.874 14455.714
